date,tier,cumulative_return
2014-10-14,Moderate,0.434131756984536
2014-10-15,Moderate,0.4256209231474808
2014-10-16,Moderate,0.4394316468393227
2014-10-17,Moderate,0.47084232644741353
2014-10-20,Moderate,0.4812383724027691
2014-10-21,Moderate,0.5132348944184109
2014-10-22,Moderate,0.4850416410706293
2014-10-23,Moderate,0.49758114999928105
2014-10-24,Moderate,0.49745886531885897
2014-10-27,Moderate,0.5016994707021782
2014-10-28,Moderate,0.5188525108756947
2014-10-29,Moderate,0.5282398749294901
2014-10-30,Moderate,0.5311353155127301
2014-10-31,Moderate,0.5490695501345926
2014-11-03,Moderate,0.5509835016529916
2014-11-04,Moderate,0.5563039940955177
2014-11-05,Moderate,0.5535003145758377
2014-11-06,Moderate,0.5597978515571012
2014-11-07,Moderate,0.5494202324404249
2014-11-10,Moderate,0.5594113574021644
2014-11-11,Moderate,0.5688991316263836
2014-11-12,Moderate,0.5702429657205701
2014-11-13,Moderate,0.5862059645115025
2014-11-14,Moderate,0.5891749796458245
2014-11-17,Moderate,0.5870662790368675
2014-11-18,Moderate,0.6048984776836095
2014-11-19,Moderate,0.6021736882267184
2014-11-20,Moderate,0.6038999772446536
2014-11-21,Moderate,0.6111655352967325
2014-11-24,Moderate,0.6182791622703661
2014-11-25,Moderate,0.6242916211651952
2014-11-26,Moderate,0.6276418747769661
2014-11-28,Moderate,0.6364942463808316
2014-12-01,Moderate,0.6241218041614283
2014-12-02,Moderate,0.6278967679594127
2014-12-03,Moderate,0.6231776590417961
2014-12-04,Moderate,0.6166252726248431
2014-12-05,Moderate,0.6179027422250505
2014-12-08,Moderate,0.6000606731485798
2014-12-09,Moderate,0.6022467497707298
2014-12-10,Moderate,0.5647765330610564
2014-12-11,Moderate,0.5662769696488337
2014-12-12,Moderate,0.5705551236962534
2014-12-15,Moderate,0.5592988780156187
2014-12-16,Moderate,0.5452346086721298
2014-12-17,Moderate,0.5754921396013739
2014-12-18,Moderate,0.6018878526021927
2014-12-19,Moderate,0.6044511134305328
2014-12-22,Moderate,0.6206722196152654
2014-12-23,Moderate,0.6265542968704236
2014-12-24,Moderate,0.627549631343697
2014-12-26,Moderate,0.6318923973200341
2014-12-29,Moderate,0.6326031657323485
2014-12-30,Moderate,0.6261382779683973
2014-12-31,Moderate,0.6080242025576992
2015-01-02,Moderate,0.6040152371278433
2015-01-05,Moderate,0.5847115430882972
2015-01-06,Moderate,0.5682056431992679
2015-01-07,Moderate,0.5887999550947962
2015-01-08,Moderate,0.6291301516256047
2015-01-09,Moderate,0.6148730824266364
2015-01-12,Moderate,0.6004375082220474
2015-01-13,Moderate,0.6031054800924709
2015-01-14,Moderate,0.5969520680209466
2015-01-15,Moderate,0.597091865351066
2015-01-16,Moderate,0.6145837940032779
2015-01-20,Moderate,0.6133304270308755
2015-01-21,Moderate,0.6357799568528615
2015-01-22,Moderate,0.68377175106602
2015-01-23,Moderate,0.6734247519469361
2015-01-26,Moderate,0.6659079260528336
2015-01-27,Moderate,0.6390108430869075
2015-01-28,Moderate,0.644396755490714
2015-01-29,Moderate,0.6890598009118689
2015-01-30,Moderate,0.6815058570067254
2015-02-02,Moderate,0.7018271152896187
2015-02-03,Moderate,0.7137081953058757
2015-02-04,Moderate,0.716048190551148
2015-02-05,Moderate,0.7336150693313008
2015-02-06,Moderate,0.7244719891240765
2015-02-09,Moderate,0.7125412862973242
2015-02-10,Moderate,0.7324302971572301
2015-02-11,Moderate,0.7401152701502025
2015-02-12,Moderate,0.7498742329663375
2015-02-13,Moderate,0.7619849045928824
2015-02-17,Moderate,0.7601529200586727
2015-02-18,Moderate,0.7664801188131039
2015-02-19,Moderate,0.7761909045963302
2015-02-20,Moderate,0.8066092448290392
2015-02-23,Moderate,0.81106597337846
2015-02-24,Moderate,0.8050452999164959
2015-02-25,Moderate,0.8047218722648104
2015-02-26,Moderate,0.8031174775156729
2015-02-27,Moderate,0.7967171486904181
2015-03-02,Moderate,0.8161024538540762
2015-03-03,Moderate,0.8080143346287518
2015-03-04,Moderate,0.8012915183925395
2015-03-05,Moderate,0.810391459213929
2015-03-06,Moderate,0.7838912677169916
2015-03-09,Moderate,0.799909898233822
2015-03-10,Moderate,0.7641359261883767
2015-03-11,Moderate,0.756841486251274
2015-03-12,Moderate,0.7819156331875821
2015-03-13,Moderate,0.7784135217983024
2015-03-16,Moderate,0.8066581337164747
2015-03-17,Moderate,0.804656338684812
2015-03-18,Moderate,0.814982981146821
2015-03-19,Moderate,0.8104815881452907
2015-03-20,Moderate,0.8134707049163652
2015-03-23,Moderate,0.8055981844221967
2015-03-24,Moderate,0.7961845326993351
2015-03-25,Moderate,0.7636464372024008
2015-03-26,Moderate,0.7593324682944023
2015-03-27,Moderate,0.7710132393892764
2015-03-30,Moderate,0.8005816394335703
2015-03-31,Moderate,0.7793365621218282
2015-04-01,Moderate,0.7711202639460468
2015-04-02,Moderate,0.7755129701834254
2015-04-06,Moderate,0.7914636010107432
2015-04-07,Moderate,0.7908485189722845
